cod_pedido;cod_cliente;cod_produto;qtd;preco_unit;valor_total;data_pedido;forma_pagamento;cidade_entrega;uf_entrega;situacao;origem
7d124938-463c-a801-a005-3f793b0a57de;CUST_08443;PROD_2825;8;3210.92;25687.36;2023-01-05;pix;Cavalcante;SE;cancelled;parceiro_c
23b1d7c2-d471-1f67-5b85-9a1bb1d1dd90;CUST_02748;PROD_3200;4;4115.69;16462.76;2023-01-23;pix;Almeida;SP;delivered;parceiro_b
509a3f06-a2d9-dbc9-3d65-3888161a5c97;CUST_29968;PROD_2627;7;607.84;4254.88;2023-01-30;boleto;da Cunha das Flores;RJ;cancelled;parceiro_a
160a7ac1-ec01-73e7-236f-15bb9c9ca8d2;CUST_33998;PROD_3970;13;3051.16;39665.08;2023-01-23;pix;Borges;PR;delivered;parceiro_b
2dd11590-7e2d-2a93-d2bd-6a2f4c110a2f;CUST_43709;PROD_3803;6;3441.25;20647.5;2023-01-31;boleto;Monteiro;SP;delivered;parceiro_b
b8febc0f-0449-32f3-c67a-03fdbd4d8991;CUST_00810;PROD_3070;19;1802.86;34254.34;2023-01-24;pix;Cassiano do Sul;RJ;delivered;parceiro_b
5d48d291-9f86-0e8a-e916-4ed44dd5929b;CUST_06011;PROD_2507;11;689.54;7584.94;2023-01-29;pix;Cardoso;SP;delivered;parceiro_b
526436e4-8d64-0fd8-e416-6fb5d7cb1a5a;CUST_20563;PROD_0689;7;4771.61;33401.27;2023-01-30;credit_card;Farias;MG;shipped;parceiro_a
79149aaf-a19f-3a94-cb8a-d0d3dd149f76;CUST_22986;PROD_2893;6;3516.75;21100.5;2023-01-28;credit_card;Peixoto Grande;RS;delivered;parceiro_a
7c70d0e1-6f3d-17c0-d7f3-7edd92af3690;CUST_27652;PROD_0115;17;1094.18;18601.06;2023-01-19;debit_card;Vieira de Farias;SP;cancelled;parceiro_b
fbb466f7-c43f-4884-abb1-b0feb78b8735;CUST_26787;PROD_4541;16;4922.53;78760.48;2023-01-26;debit_card;Albuquerque de Sampaio;MA;delivered;parceiro_c
dde807bf-d29c-858c-f4e6-b99d0c924369;CUST_37266;PROD_2022;19;3896.95;74042.05;2023-01-25;credit_card;Monteiro;SP;shipped;parceiro_c
05c2e97a-13fb-0f4b-d3e9-1cdb4e450d97;CUST_27096;PROD_2168;17;773.32;13146.44;2023-01-11;debit_card;Moraes;SC;delivered;parceiro_a
7f85d798-d1c9-44a3-7f07-78ceb1c07b80;CUST_46291;PROD_1920;3;248.33;744.99;2023-01-23;credit_card;da Conceição;MG;delivered;parceiro_b
12a9a191-fbfe-4f74-0fcc-4a443f06c22a;CUST_11419;PROD_1768;17;1458.26;24790.42;2023-01-24;credit_card;Azevedo do Amparo;SP;cancelled;parceiro_b
996286d9-0fbe-99d7-b40a-dddd1fd5f9aa;CUST_44048;PROD_2146;16;4844.12;77505.92;2023-01-14;boleto;Freitas;PR;pending;parceiro_a
8ca38708-4185-87d5-3b24-c1846488c66c;CUST_23394;PROD_4328;4;2465.12;9860.48;2023-01-24;debit_card;Rocha Grande;CE;delivered;parceiro_b
12790ee0-7c73-6a07-8f73-95223b64db7e;CUST_32707;PROD_4507;20;4454.23;89084.6;2023-01-18;pix;Rocha;RJ;delivered;parceiro_b
1097fe4a-3138-6070-362f-575d0e38b2d1;CUST_20030;PROD_2649;7;2893.98;20257.86;2023-01-30;credit_card;Garcia;RJ;cancelled;parceiro_c
166d7e52-4360-a841-8e07-5a879733efda;CUST_47552;PROD_2590;8;831.18;6649.44;2023-01-17;debit_card;Jesus de Oliveira;RJ;delivered;parceiro_b
92a05686-6995-cd3a-708a-21643ea31575;CUST_13227;PROD_3925;11;759.42;8353.62;2023-01-30;credit_card;Moura;AM;shipped;parceiro_a
f2cc4fcb-a528-b8ea-6e43-ca21c154d337;CUST_23338;PROD_1912;3;1327.05;3981.15;2023-01-24;debit_card;Pinto da Praia;SP;delivered;parceiro_a
