cod_pedido;cod_cliente;cod_produto;qtd;preco_unit;valor_total;data_pedido;forma_pagamento;cidade_entrega;uf_entrega;situacao;origem
1b27a96e-27ea-beff-ec4e-182a8446c93b;CUST_43585;PROD_1016;15;2718.59;40778.85;2023-06-20;debit_card;Freitas;SP;delivered;parceiro_b
f077beaa-c6a4-15ed-c188-965514a02ff1;CUST_33751;PROD_1614;15;1496.43;22446.45;2023-06-10;credit_card;Sales;CE;cancelled;parceiro_b
7bcd3501-1618-4b5c-4226-21e767ee5fd2;CUST_17021;PROD_3018;17;1149.18;19536.06;2023-06-18;boleto;da Conceição;RJ;shipped;parceiro_b
0c4b1032-b3f4-80d2-d14b-3bfc3908000e;CUST_35367;PROD_1725;8;781.09;6248.72;2023-06-13;pix;Dias da Praia;MS;delivered;parceiro_a
0161306f-a60a-0b0f-79d9-a1618e657b25;CUST_20952;PROD_4400;7;4081.06;28567.42;2023-06-27;boleto;Câmara de Sampaio;RJ;delivered;parceiro_a
30c7cc28-c722-f3d2-816c-b8eacac9ead3;CUST_31381;PROD_3354;15;674.9;10123.5;2023-06-01;boleto;Camargo;MG;shipped;parceiro_a
bd93f9c8-c22a-9b21-e4bd-2ae9803b2381;CUST_49914;PROD_3087;14;1444.04;20216.56;2023-06-18;debit_card;Sampaio do Galho;RJ;delivered;parceiro_b
4e0f384b-834f-8805-44b0-15b861f914cd;CUST_45936;PROD_1998;2;17.49;34.98;2023-06-27;pix;Pimenta;DF;delivered;parceiro_a
f48ffbd6-da50-eac1-ad7c-efac6ebd9464;CUST_19153;PROD_0779;19;2172.46;41276.74;2023-06-11;pix;Souza da Serra;RS;delivered;parceiro_c
bae6756b-6ff8-7723-611f-02e0095184eb;CUST_21921;PROD_4880;20;3742.48;74849.6;2023-06-24;pix;Casa Grande Alegre;SP;delivered;parceiro_c
cec54bb1-7646-99b4-acb7-61e9563dce4d;CUST_25698;PROD_3432;9;2043.53;18391.77;2023-06-17;credit_card;Cavalcante;PE;delivered;parceiro_c
53f4698a-2b37-52a0-5339-252ae35f083a;CUST_26700;PROD_3448;5;1528.94;7644.7;2023-06-10;credit_card;Martins do Oeste;DF;delivered;parceiro_a
38e74cec-ce89-7302-49db-9d4bb9c4d838;CUST_23162;PROD_4298;12;3423.07;41076.84;2023-06-09;pix;Pires;SP;delivered;parceiro_a
491e718d-865c-15ab-d7a3-de4a28e17e15;CUST_40839;PROD_4093;9;2239.29;20153.61;2023-06-14;debit_card;Martins Paulista;MG;delivered;parceiro_c
b8a711f1-ef1a-b233-5423-832a3c25bddf;CUST_38941;PROD_4683;3;1241.64;3724.92;2023-06-27;credit_card;Costela Verde;RJ;delivered;parceiro_c
435366b3-399c-779d-85fd-e7a914353ff1;CUST_31545;PROD_0342;12;4831.48;57977.76;2023-06-18;credit_card;da Costa Alegre;AM;delivered;parceiro_a
6e8be19d-7fc8-774c-433b-5ce985afd8cd;CUST_18682;PROD_2618;14;2868.4;40157.6;2023-06-17;debit_card;da Conceição;RS;delivered;parceiro_b
cdeecd18-cb45-ea16-b322-c18164a01611;CUST_18001;PROD_3291;2;2265.84;4531.68;2023-06-21;pix;Mendonça;RJ;delivered;parceiro_a
4c51d7e0-8357-d084-137d-d66b4a870d56;CUST_32090;PROD_3209;8;883.52;7068.16;2023-06-20;pix;da Paz;MT;delivered;parceiro_b
6df599c9-af9c-7366-9e71-f380fa2e568b;CUST_05155;PROD_4850;9;3926.72;35340.48;2023-06-16;credit_card;da Rocha de Minas;SP;delivered;parceiro_b
db7f1a9f-3a6b-6bfe-b16b-cfbe45f61956;CUST_45636;PROD_1951;13;3161.52;41099.76;2023-06-06;credit_card;Sales de Camargo;CE;delivered;parceiro_a
7450a90d-856e-78cd-56ef-bda6e2f18995;CUST_36965;PROD_3014;7;559.27;3914.89;2023-06-29;boleto;Borges do Sul;RO;delivered;parceiro_a
36a2987a-ee11-d429-20eb-25430c4031f4;CUST_27575;PROD_1496;10;2369.17;23691.7;2023-06-09;credit_card;Farias Alegre;RJ;delivered;parceiro_a
b35b4453-0ef4-c5aa-047f-8a93aa9b92f8;CUST_37534;PROD_3427;7;862.35;6036.45;2023-06-11;boleto;Gonçalves das Pedras;MT;delivered;parceiro_a
256df8dd-10fc-051f-ca4d-048a9d2c5682;CUST_35660;PROD_0349;16;4336.26;69380.16;2023-06-11;pix;Aparecida do Galho;ES;delivered;parceiro_a
5d708e6e-3159-5ccf-59fa-545ac0a3e6b9;CUST_24374;PROD_2320;19;3308.49;62861.31;2023-06-03;pix;Jesus do Sul;RJ;delivered;parceiro_b
b396881f-9890-3ac1-78ca-0707f276e9b7;CUST_28398;PROD_2002;8;753.26;6026.08;2023-06-27;debit_card;Castro;PA;delivered;parceiro_b
81245ade-7fca-1cdb-4afa-8db0bb9dce37;CUST_30916;PROD_2125;4;3174.3;12697.2;2023-06-13;credit_card;Oliveira;RS;delivered;parceiro_b
00b42d0d-f53d-d4b1-ca4c-e00b6f587754;CUST_42843;PROD_0834;8;1210.16;9681.28;2023-06-25;credit_card;Albuquerque;MG;pending;parceiro_c
255cf835-477f-ae57-f90a-ede8ab6e5b81;CUST_21148;PROD_4082;10;1645.55;16455.5;2023-06-22;pix;Aparecida;PB;pending;parceiro_c
ecbf8faf-670e-1ea3-2c39-b5d37007b535;CUST_18404;PROD_4579;16;972.35;15557.6;2023-06-14;debit_card;Guerra;CE;delivered;parceiro_c
200979f3-3f5f-ad63-8a5a-e928d94d7faf;CUST_44862;PROD_1042;19;1907.3;36238.7;2023-06-03;debit_card;Cardoso;AM;delivered;parceiro_a
d57161b9-a660-7416-8e67-d6bc7ca3f985;CUST_07565;PROD_0776;2;4858.27;9716.54;2023-06-16;pix;Novais de Rezende;RJ;delivered;parceiro_c
ff173100-66ba-f5ee-8d99-f3db2704d412;CUST_07858;PROD_2419;11;1868.1;20549.1;2023-06-26;pix;Novaes;MG;delivered;parceiro_b
012fadbe-099d-8906-239e-89ddab587c8f;CUST_09276;PROD_2376;16;2871.49;45943.84;2023-06-23;credit_card;Rios Grande;BA;shipped;parceiro_c
6d14e0ff-694e-5d27-c22b-31cf41570813;CUST_35195;PROD_3656;7;3119.61;21837.27;2023-06-30;pix;Almeida do Campo;PR;delivered;parceiro_c
e459a0a6-ebc0-ea45-c038-1bfec8b8325b;CUST_25282;PROD_3123;14;2444.8;34227.2;2023-06-18;boleto;Novaes Grande;RJ;delivered;parceiro_c
de0c59d8-ce78-ca67-681a-56571d661aea;CUST_31795;PROD_2132;14;3181.14;44535.96;2023-06-14;pix;Pastor;SC;delivered;parceiro_b
043600e5-66dd-274a-3b87-d4afcc06c9a0;CUST_44055;PROD_0530;7;4300.61;30104.27;2023-06-28;pix;Sá;BA;delivered;parceiro_b
e94412e0-c9b7-a4d9-a036-81dc2f4af6ca;CUST_15095;PROD_3572;11;2139.07;23529.77;2023-06-06;debit_card;Cunha;MG;cancelled;parceiro_a
c6a82653-d739-1b1d-e51b-cec7776dfb23;CUST_30364;PROD_0687;18;4755.78;85604.04;2023-06-03;debit_card;Novaes da Mata;SP;delivered;parceiro_b
c2cf70e7-7d60-99a7-9f3b-a977f1a60480;CUST_04237;PROD_3833;19;771.64;14661.16;2023-06-11;credit_card;Farias de Souza;RJ;delivered;parceiro_c
f6579d17-2b72-4581-cc14-7f9ff2045f85;CUST_03005;PROD_1828;14;3184.39;44581.46;2023-06-30;credit_card;da Conceição;SP;delivered;parceiro_b
2296a8ff-7878-4a19-5ec4-6763283dd604;CUST_34489;PROD_0713;12;694.87;8338.44;2023-06-15;credit_card;Freitas;DF;delivered;parceiro_a
f7882210-6611-3419-45bb-cbef6150cefb;CUST_17855;PROD_1559;6;3041.72;18250.32;2023-06-23;pix;Campos da Mata;MG;pending;parceiro_a
59fd87c3-103e-59ce-d4d4-557533bed206;CUST_42347;PROD_2131;18;2330.23;41944.14;2023-06-04;credit_card;Moraes da Mata;GO;delivered;parceiro_c
aa3156c1-3434-ca72-4c46-0f831e54aea0;CUST_05590;PROD_1581;6;4370.53;26223.18;2023-06-16;credit_card;Aragão de da Rosa;MA;delivered;parceiro_c
aa40fed5-7703-4628-b1af-9688fb8c5ed6;CUST_11448;PROD_2767;16;3303.15;52850.4;2023-06-19;pix;Pinto;MG;delivered;parceiro_c
f0ecc136-eb54-558b-9f26-8b1dff27eb79;CUST_14759;PROD_4341;10;1995.07;19950.7;2023-06-12;credit_card;Borges das Flores;RS;cancelled;parceiro_a
49469d16-1fe0-6255-3a48-e9b9dbe7b5ae;CUST_18100;PROD_1190;16;1333.86;21341.76;2023-06-26;boleto;da Conceição;PB;pending;parceiro_b
