order_id,customer_id,product_id,quantity,unit_price,total_amount,order_date,payment_method,shipping_city,shipping_state,status,partner_source
1bf6034a-e05e-a217-5cd7-f3cd78580964,CUST_49058,PROD_0599,15,180.66,2709.9,2023-11-03,boleto,Fonseca de Caldeira,SP,delivered,parceiro_a
310a7fac-ee2d-04ba-5349-5659d7f2470f,CUST_36638,PROD_3553,8,4132.32,33058.56,2023-11-03,pix,Barbosa,MA,delivered,parceiro_c
712426e0-f008-0dd3-5920-d15f86cb2874,CUST_19032,PROD_1609,8,2244.65,17957.2,2023-11-03,pix,Moreira da Prata,BA,delivered,parceiro_b
d7365b4b-bfa5-1dd9-eb5d-1dfe20bee44f,CUST_34906,PROD_4470,4,951.73,3806.92,2023-11-03,boleto,da Conceição,SP,pending,parceiro_c
e26f2c41-a9e1-304a-5ebe-c36daff6ed5f,CUST_43997,PROD_1027,20,1153.31,23066.2,2023-11-03,pix,Costa das Flores,RJ,shipped,parceiro_a
f40a5829-eee6-c0cb-9880-d61066f85631,CUST_16633,PROD_0154,15,4516.98,67754.7,2023-11-03,credit_card,Gomes da Mata,RJ,delivered,parceiro_b
97fd5518-7991-1673-9278-c6327a76676a,CUST_37840,PROD_2349,15,2729.08,40936.2,2023-11-03,credit_card,da Paz,RS,shipped,parceiro_a
bbd47d4e-3978-c751-7bec-d4f46a6bcd85,CUST_09831,PROD_0750,5,3249.21,16246.05,2023-11-03,debit_card,da Mata da Praia,BA,delivered,parceiro_a
c667ba78-dd42-a437-2257-398039d85130,CUST_37866,PROD_3359,14,684.83,9587.62,2023-11-03,debit_card,da Cruz de Minas,SP,delivered,parceiro_a
a90bb7f1-f841-6663-dcc0-d6c9a9eaaa02,CUST_49223,PROD_4421,1,729.81,729.81,2023-11-03,pix,Machado,RS,delivered,parceiro_b
18b04abc-5b25-d661-f3db-09ff26f454f3,CUST_12785,PROD_2477,12,2679.71,32156.52,2023-11-03,boleto,Peixoto,SP,pending,parceiro_a
f531f8eb-1375-0720-bfd2-b2d171f3a2a2,CUST_06395,PROD_2121,7,1316.03,9212.21,2023-11-03,debit_card,da Luz das Flores,SP,delivered,parceiro_a
a98aac8a-f556-fb0b-91b4-5d0d9140fade,CUST_01573,PROD_3310,20,4440.78,88815.6,2023-11-03,pix,Carvalho Verde,RJ,delivered,parceiro_a
130cbcc0-9cc1-a7fa-73a3-4693e9f48d8e,CUST_28691,PROD_0733,7,3996.58,27976.06,2023-11-03,boleto,Silveira do Oeste,MG,delivered,parceiro_b
6ff12151-0da3-c439-c576-4a64416f0b7d,CUST_38019,PROD_2400,9,2407.88,21670.92,2023-11-03,debit_card,da Conceição do Galho,PA,delivered,parceiro_c
5d5e5b7e-5e8a-1a1b-dd00-abe2f70b1b80,CUST_17473,PROD_0612,1,4209.88,4209.88,2023-11-03,credit_card,Cavalcante de Lima,PA,pending,parceiro_b
01569b06-c544-ddfa-be3b-cc72ac66bee7,CUST_00669,PROD_4493,17,3958.7,67297.9,2023-11-03,credit_card,Aparecida da Praia,PI,delivered,parceiro_c
04aba0b2-6783-ac14-32cd-bd4c2f94f7fa,CUST_37302,PROD_4475,6,35.6,213.6,2023-11-03,pix,Dias de Duarte,DF,delivered,parceiro_c
d7451f14-ff8b-6288-36e1-db4cfc1c9982,CUST_14568,PROD_2148,10,4119.89,41198.9,2023-11-03,debit_card,Camargo,MT,cancelled,parceiro_b
f0316e26-9435-1b0b-0ee9-f6bfa2222a07,CUST_40100,PROD_0611,12,1613.37,19360.44,2023-11-03,boleto,Camargo,ES,delivered,parceiro_c
eaebf513-8210-9720-33f6-7f93bf066b39,CUST_49535,PROD_2186,15,2660.93,39913.95,2023-11-03,pix,Leão da Prata,MS,pending,parceiro_a
4af7b3ec-5d8c-670b-f206-2719b6fa97d9,CUST_14807,PROD_0573,2,4569.81,9139.62,2023-11-03,debit_card,Rezende,RN,pending,parceiro_a
4e33054d-bd7f-f76f-682a-62570b509d31,CUST_44641,PROD_2586,2,4159.13,8318.26,2023-11-03,pix,Pacheco,RJ,cancelled,parceiro_b
336fd5b0-6b42-54a1-d19f-9c775aff5cce,CUST_46179,PROD_0920,10,4029.69,40296.9,2023-11-03,debit_card,Cavalcanti do Sul,RS,shipped,parceiro_a
07091c51-c7e3-0048-6295-22340f1f08f9,CUST_12909,PROD_4714,3,1553.32,4659.96,2023-11-03,debit_card,das Neves,SE,delivered,parceiro_a
e6c05d8d-b68a-e825-a6e6-75f9d40341ca,CUST_17003,PROD_0827,15,4766.66,71499.9,2023-11-03,pix,Cassiano do Amparo,RS,delivered,parceiro_b
c266e193-d85d-2188-d7f9-a1b956a6ddb2,CUST_33329,PROD_0047,19,3956.01,75164.19,2023-11-03,boleto,da Rosa,SP,delivered,parceiro_b
0caaa9b9-b084-2da5-a66f-a3ca3cbac6fe,CUST_34307,PROD_2622,8,3047.17,24377.36,2023-11-03,boleto,Barros,RJ,delivered,parceiro_b
8cda7907-8692-6170-a719-3ac19ce78dc3,CUST_17750,PROD_0597,8,1270.52,10164.16,2023-11-03,boleto,Camargo,SE,delivered,parceiro_a
82f84b78-ebad-3afd-e2dd-0b83516764ae,CUST_26956,PROD_1184,5,3152.42,15762.1,2023-11-03,credit_card,Pereira,RJ,delivered,parceiro_c
9b06474e-bc39-409b-a3de-18b3d9ee3a02,CUST_48340,PROD_3736,18,2676.85,48183.3,2023-11-03,boleto,Rios,PR,delivered,parceiro_a
90896842-01fb-8953-e392-873656c45092,CUST_26705,PROD_2320,4,1424.46,5697.84,2023-11-03,pix,Lopes,MG,delivered,parceiro_a
ec5d30a4-2f8c-d235-cc66-ea4121a8c9ad,CUST_13568,PROD_2417,2,2431.5,4863.0,2023-11-03,boleto,Macedo,DF,delivered,parceiro_a
7bbb348b-bc1c-94c7-cfe9-ceea0babb889,CUST_28432,PROD_2614,10,1868.79,18687.9,2023-11-03,debit_card,Vasconcelos de Costa,SP,delivered,parceiro_c
41659104-d1c5-1b97-abac-b9d842b80a3c,CUST_07970,PROD_1576,2,1184.1,2368.2,2023-11-03,credit_card,Aparecida,SP,delivered,parceiro_a
f6be5dfe-f32b-a047-008a-aebdf7e5df31,CUST_35670,PROD_3325,11,779.12,8570.32,2023-11-03,boleto,Almeida da Praia,PR,shipped,parceiro_b
2deadbdd-4c99-aa44-6a63-95cbcf642188,CUST_17482,PROD_3914,5,78.25,391.25,2023-11-03,debit_card,Costela das Pedras,PE,delivered,parceiro_c
4277d295-2153-6d53-11d2-505da801021f,CUST_00200,PROD_2105,1,4997.4,4997.4,2023-11-03,pix,Carvalho do Norte,MT,delivered,parceiro_b
4c82a496-0097-a98f-09e6-4277031f5783,CUST_47882,PROD_3302,8,1506.99,12055.92,2023-11-03,credit_card,Vieira,PR,delivered,parceiro_a
39662502-6bd2-c0eb-d429-4e645df7a0c3,CUST_29771,PROD_1306,16,4487.83,71805.28,2023-11-03,debit_card,Novais,SP,shipped,parceiro_a
10e1b26b-a1b6-cd3f-c3bf-df302dc43657,CUST_37509,PROD_1768,19,4987.19,94756.61,2023-11-03,credit_card,das Neves,RJ,delivered,parceiro_a
0b4dd038-41be-757c-5a26-f5232dbb3e5a,CUST_08812,PROD_1240,9,4228.66,38057.94,2023-11-03,pix,Barbosa,RN,delivered,parceiro_c
67ae3e2c-5836-a98f-6239-3401e61b83f5,CUST_43828,PROD_2648,4,3237.08,12948.32,2023-11-03,debit_card,Camargo,SP,delivered,parceiro_c
45c20e47-8991-3139-d2a3-9e038f64e201,CUST_25000,PROD_4815,19,1637.66,31115.54,2023-11-03,pix,Macedo,SP,cancelled,parceiro_a
c67fd017-e33d-397f-9b3c-594540bf12f4,CUST_05896,PROD_1320,7,4327.25,30290.75,2023-11-03,boleto,Silva,SP,cancelled,parceiro_a
c7fff1da-b110-8ab0-1bfd-d0a7752fd698,CUST_23772,PROD_0794,1,211.68,211.68,2023-11-03,pix,da Rosa de Farias,SP,delivered,parceiro_c
542aa080-0640-3783-c27c-9626096e891a,CUST_02049,PROD_0850,16,3839.88,61438.08,2023-11-03,pix,Siqueira,MG,pending,parceiro_b
8555a9a1-6438-052d-5eaf-dba376f8e61a,CUST_14824,PROD_0987,2,2915.73,5831.46,2023-11-03,pix,Aparecida,RJ,delivered,parceiro_a
392e46f6-6c10-4455-05e2-491f656e94c9,CUST_34353,PROD_1650,17,2698.12,45868.04,2023-11-03,boleto,Sousa,RS,delivered,parceiro_c
e850dd91-12aa-daa4-8b7c-5f54c8b437ff,CUST_14898,PROD_2503,9,396.0,3564.0,2023-11-03,credit_card,Silva do Sul,SP,delivered,parceiro_b
7310b7e2-5cbe-83a7-35b5-50afc2fdd8b8,CUST_06978,PROD_0707,2,18.92,37.84,2023-11-03,credit_card,Pereira,RJ,delivered,parceiro_b
863676a8-f377-0407-36b4-4575616094dc,CUST_29698,PROD_4277,9,2781.47,25033.23,2023-11-03,credit_card,Rodrigues,CE,delivered,parceiro_a
9ae031ac-d27c-eb42-7e73-fd196cccfe85,CUST_17873,PROD_1050,20,4735.84,94716.8,2023-11-03,debit_card,Freitas do Norte,PR,cancelled,parceiro_a
22cd733d-08ac-6a8c-d1d5-d96c7e6a4282,CUST_36897,PROD_3630,4,817.56,3270.24,2023-11-03,boleto,Gomes,SP,shipped,parceiro_a
803c4e73-6f48-77d3-34b5-894c04773666,CUST_23116,PROD_1681,16,1092.07,17473.12,2023-11-03,credit_card,Correia,RJ,cancelled,parceiro_c
e1f897ee-7bc2-8303-c499-b0b3ad79c200,CUST_21626,PROD_4721,10,1043.41,10434.1,2023-11-03,debit_card,Souza Verde,RJ,shipped,parceiro_a
a8474ea9-fe94-fc6d-6067-342c46067e67,CUST_44349,PROD_2693,6,3672.22,22033.32,2023-11-03,credit_card,Ribeiro,PE,delivered,parceiro_c
e35ef5ad-8a43-5e24-8e01-fd950dcac38b,CUST_09822,PROD_2347,2,2010.94,4021.88,2023-11-03,pix,Sampaio de Leão,SP,shipped,parceiro_c
